,index,subject,dataset,idv label,group label,size,size of pre,size of next,dist to pre,dist to next,gap,pre gap,next gap
16,17,GL016,train,5,1,16409,15529,18894,18.24828759089466,16.06237840420901,16.06237840420901,18.24828759089466,18.973665961010276
17,18,GL016,train,6,1,18894,16409,23308,16.06237840420901,18.973665961010276,18.973665961010276,16.06237840420901,18.973665961010276
18,19,GL016,train,7,1,23308,18894,25238,18.973665961010276,18.973665961010276,18.973665961010276,18.973665961010276,20.273134932713294
19,20,GL016,train,8,2,25238,23308,26066,18.973665961010276,20.273134932713294,20.273134932713294,18.973665961010276,22.494443758403985
20,21,GL016,train,9,2,26066,25238,26030,20.273134932713294,22.494443758403985,22.494443758403985,20.273134932713294,23.790754506740637
21,22,GL016,train,10,2,26030,26066,27512,22.494443758403985,23.790754506740637,23.790754506740637,22.494443758403985,
22,23,GL016,train,11,2,27512,26030,,23.790754506740637,,,23.790754506740637,
23,24,GL047,val,1,1,10757,,14101,,13.30413469565007,13.30413469565007,,15.811388300841896
24,25,GL047,val,2,1,14101,10757,9294,13.30413469565007,15.811388300841896,15.811388300841896,13.30413469565007,14.071247279470288
25,26,GL047,val,3,1,9294,14101,8969,15.811388300841896,14.071247279470288,14.071247279470288,15.811388300841896,14.45683229480096
26,27,GL047,val,4,1,8969,9294,9817,14.071247279470288,14.45683229480096,14.45683229480096,14.071247279470288,15.588457268119896
27,28,GL047,val,5,1,9817,8969,10421,14.45683229480096,15.588457268119896,15.588457268119896,14.45683229480096,15.264337522473747
28,29,GL047,val,6,1,10421,9817,15080,15.588457268119896,15.264337522473747,15.264337522473747,15.588457268119896,17.029386365926403
29,30,GL047,val,7,1,15080,10421,17222,15.264337522473747,17.029386365926403,17.029386365926403,15.264337522473747,18.275666882497067
30,31,GL047,val,8,2,17222,15080,16946,17.029386365926403,18.275666882497067,18.275666882497067,17.029386365926403,19.6468827043885
31,32,GL047,val,9,2,16946,17222,16867,18.275666882497067,19.6468827043885,19.6468827043885,18.275666882497067,21.118712081942874
32,33,GL047,val,10,2,16867,16946,17683,19.6468827043885,21.118712081942874,21.118712081942874,19.6468827043885,
33,34,GL047,val,11,2,17683,16867,,21.118712081942874,,,21.118712081942874,
34,35,GL090,train,1,1,12034,,14665,,16.0312195418814,16.0312195418814,,18.35755975068582
35,36,GL090,train,2,1,14665,12034,10988,16.0312195418814,18.35755975068582,18.35755975068582,16.0312195418814,15.329709716755891
36,37,GL090,train,3,1,10988,14665,10780,18.35755975068582,15.329709716755891,15.329709716755891,18.35755975068582,17.378147196982766
37,38,GL090,train,4,1,10780,10988,12579,15.329709716755891,17.378147196982766,17.378147196982766,15.329709716755891,14.594519519326424
38,39,GL090,train,5,1,12579,10780,14018,17.378147196982766,14.594519519326424,14.594519519326424,17.378147196982766,16.278820596099706
39,40,GL090,train,6,1,14018,12579,14671,14.594519519326424,16.278820596099706,16.278820596099706,14.594519519326424,16.55294535724685
40,41,GL090,train,7,1,14671,14018,19289,16.278820596099706,16.55294535724685,16.55294535724685,16.278820596099706,18.81488772222678
41,42,GL090,train,8,2,19289,14671,18844,16.55294535724685,18.81488772222678,18.81488772222678,16.55294535724685,21.047565179849187
42,43,GL090,train,9,2,18844,19289,18276,18.81488772222678,21.047565179849187,21.047565179849187,18.81488772222678,
43,44,GL090,train,10,2,18276,18844,,21.047565179849187,,,21.047565179849187,
44,45,GL124,test,1,1,14449,,18050,,17.52141546793523,17.52141546793523,,20.322401432901575
45,46,GL124,test,2,1,18050,14449,12372,17.52141546793523,20.322401432901575,20.322401432901575,17.52141546793523,18.681541692269406
46,47,GL124,test,3,1,12372,18050,12859,20.322401432901575,18.681541692269406,18.681541692269406,20.322401432901575,17.46424919657298
47,48,GL124,test,4,1,12859,12372,14411,18.681541692269406,17.46424919657298,17.46424919657298,18.681541692269406,19.131126469708992
48,49,GL124,test,5,1,14411,12859,15868,17.46424919657298,19.131126469708992,19.131126469708992,17.46424919657298,18.49324200890693
49,50,GL124,test,6,1,15868,14411,19893,19.131126469708992,18.49324200890693,18.49324200890693,19.131126469708992,19.924858845171276
50,51,GL124,test,7,1,19893,15868,25570,18.49324200890693,19.924858845171276,19.924858845171276,18.49324200890693,22.847319317591726
51,52,GL124,test,8,2,25570,19893,24821,19.924858845171276,22.847319317591726,22.847319317591726,19.924858845171276,24.166091947189145
52,53,GL124,test,9,2,24821,25570,24781,22.847319317591726,24.166091947189145,24.166091947189145,22.847319317591726,
53,54,GL124,test,10,2,24781,24821,,24.166091947189145,,,24.166091947189145,
54,55,GL240,train,1,1,12343,,17953,,15.427248620541512,15.427248620541512,,18.05547008526779
55,56,GL240,train,2,1,17953,12343,11800,15.427248620541512,18.05547008526779,18.05547008526779,15.427248620541512,17.11724276862369
56,57,GL240,train,3,1,11800,17953,13007,18.05547008526779,17.11724276862369,17.11724276862369,18.05547008526779,16.0312195418814
57,58,GL240,train,4,1,13007,11800,13079,17.11724276862369,16.0312195418814,16.0312195418814,17.11724276862369,15.033296378372908
58,59,GL240,train,5,1,13079,13007,15167,16.0312195418814,15.033296378372908,15.033296378372908,16.0312195418814,17.11724276862369
59,60,GL240,train,6,1,15167,13079,18427,15.033296378372908,17.11724276862369,17.11724276862369,15.033296378372908,18.138357147217054
60,61,GL240,train,7,1,18427,15167,24385,17.11724276862369,18.138357147217054,18.138357147217054,17.11724276862369,21.563858652847824
61,62,GL240,train,8,2,24385,18427,23874,18.138357147217054,21.563858652847824,21.563858652847824,18.138357147217054,21.633307652783937
62,63,GL240,train,9,2,23874,24385,21457,21.563858652847824,21.633307652783937,21.633307652783937,21.563858652847824,
63,64,GL240,train,10,2,21457,23874,,21.633307652783937,,,21.633307652783937,
64,65,GL247,train,1,1,18286,,20578,,17.233687939614086,17.233687939614086,,18.547236990991408
65,66,GL247,train,2,1,20578,18286,14104,17.233687939614086,18.547236990991408,18.547236990991408,17.233687939614086,17.029386365926403
66,67,GL247,train,3,1,14104,20578,15414,18.547236990991408,17.029386365926403,17.029386365926403,18.547236990991408,16.0312195418814
67,68,GL247,train,4,1,15414,14104,15705,17.029386365926403,16.0312195418814,16.0312195418814,17.029386365926403,16.06237840420901
68,69,GL247,train,5,1,15705,15414,17190,16.0312195418814,16.06237840420901,16.06237840420901,16.0312195418814,19.72308292331602
69,70,GL247,train,6,1,17190,15705,21012,16.06237840420901,19.72308292331602,19.72308292331602,16.06237840420901,20.639767440550294
70,71,GL247,train,7,1,21012,17190,27056,19.72308292331602,20.639767440550294,20.639767440550294,19.72308292331602,23.430749027719962
71,72,GL247,train,8,2,27056,21012,24031,20.639767440550294,23.430749027719962,23.430749027719962,20.639767440550294,22.045407685048602
72,73,GL247,train,9,2,24031,27056,24785,23.430749027719962,22.045407685048602,22.045407685048602,23.430749027719962,23.15167380558045
73,74,GL247,train,10,2,24785,24031,26857,22.045407685048602,23.15167380558045,23.15167380558045,22.045407685048602,22.715633383201094
74,75,GL247,train,11,2,26857,24785,28899,23.15167380558045,22.715633383201094,22.715633383201094,23.15167380558045,22.38302928559939
75,76,GL247,train,12,2,28899,26857,32107,22.715633383201094,22.38302928559939,22.38302928559939,22.715633383201094,
76,77,GL247,train,13,2,32107,28899,,22.38302928559939,,,22.38302928559939,
77,78,GL295,train,1,1,14316,,15719,,16.401219466856727,16.401219466856727,,19.339079605813716
78,79,GL295,train,2,1,15719,14316,11212,16.401219466856727,19.339079605813716,19.339079605813716,16.401219466856727,17.578395831246947
79,80,GL295,train,3,1,11212,15719,11216,19.339079605813716,17.578395831246947,17.578395831246947,19.339079605813716,17.578395831246947
80,81,GL295,train,4,1,11216,11212,11885,17.578395831246947,17.578395831246947,17.578395831246947,17.578395831246947,16.76305461424021
81,82,GL295,train,5,1,11885,11216,12027,17.578395831246947,16.76305461424021,16.76305461424021,17.578395831246947,17.4928556845359
82,83,GL295,train,6,1,12027,11885,14565,16.76305461424021,17.4928556845359,17.4928556845359,16.76305461424021,18.411952639521967
83,84,GL295,train,7,1,14565,12027,20663,17.4928556845359,18.411952639521967,18.411952639521967,17.4928556845359,19.672315572906
84,85,GL295,train,8,2,20663,14565,21661,18.411952639521967,19.672315572906,19.672315572906,18.411952639521967,21.633307652783937
85,86,GL295,train,9,2,21661,20663,22017,19.672315572906,21.633307652783937,21.633307652783937,19.672315572906,22.561028345356956
86,87,GL295,train,10,2,22017,21661,21823,21.633307652783937,22.561028345356956,22.561028345356956,21.633307652783937,22.891046284519195
87,88,GL295,train,11,2,21823,22017,21966,22.561028345356956,22.891046284519195,22.891046284519195,22.561028345356956,
88,89,GL295,train,12,2,21966,21823,,22.891046284519195,,,22.891046284519195,
89,90,GL364,test,1,1,13775,,15515,,16.06237840420901,16.06237840420901,,18.110770276274835
90,91,GL364,test,2,1,15515,13775,10934,16.06237840420901,18.110770276274835,18.110770276274835,16.06237840420901,17.11724276862369
91,92,GL364,test,3,1,10934,15515,12368,18.110770276274835,17.11724276862369,17.11724276862369,18.110770276274835,16.24807680927192
92,93,GL364,test,4,1,12368,10934,12907,17.11724276862369,16.24807680927192,16.24807680927192,17.11724276862369,16.492422502470642
93,94,GL364,test,5,1,12907,12368,15077,16.24807680927192,16.492422502470642,16.492422502470642,16.24807680927192,18.973665961010276
94,95,GL364,test,6,1,15077,12907,17238,16.492422502470642,18.973665961010276,18.973665961010276,16.492422502470642,18.411952639521967
95,96,GL364,test,7,1,17238,15077,20692,18.973665961010276,18.411952639521967,18.411952639521967,18.973665961010276,
96,97,GL364,test,8,2,20692,17238,,18.411952639521967,,,18.411952639521967,
97,98,GL453,train,1,1,14207,,17109,,17.291616465790582,17.291616465790582,,18.05547008526779
98,99,GL453,train,2,1,17109,14207,12374,17.291616465790582,18.05547008526779,18.05547008526779,17.291616465790582,16.0312195418814
99,100,GL453,train,3,1,12374,17109,12528,18.05547008526779,16.0312195418814,16.0312195418814,18.05547008526779,17.11724276862369
100,101,GL453,train,4,1,12528,12374,13665,16.0312195418814,17.11724276862369,17.11724276862369,16.0312195418814,17.4928556845359
101,102,GL453,train,5,1,13665,12528,15104,17.11724276862369,17.4928556845359,17.4928556845359,17.11724276862369,17.46424919657298
102,103,GL453,train,6,1,15104,13665,17357,17.4928556845359,17.46424919657298,17.46424919657298,17.4928556845359,18.81488772222678
103,104,GL453,train,7,1,17357,15104,20388,17.46424919657298,18.81488772222678,18.81488772222678,17.46424919657298,21.563858652847824
104,105,GL453,train,8,2,20388,17357,21296,18.81488772222678,21.563858652847824,21.563858652847824,18.81488772222678,22.135943621178654
105,106,GL453,train,9,2,21296,20388,19771,21.563858652847824,22.135943621178654,22.135943621178654,21.563858652847824,
106,107,GL453,train,10,2,19771,21296,,22.135943621178654,,,22.135943621178654,
107,108,verse004,train,16,2,28220,,31464,,23.08679276123039,23.08679276123039,,27.313000567495326
108,109,verse004,train,17,2,31464,28220,36268,23.08679276123039,27.313000567495326,27.313000567495326,23.08679276123039,30.265491900843113
109,110,verse004,train,18,2,36268,31464,41320,27.313000567495326,30.265491900843113,30.265491900843113,27.313000567495326,26.324893162176366
110,111,verse004,train,19,2,41320,36268,38272,30.265491900843113,26.324893162176366,26.324893162176366,30.265491900843113,28.653097563788805
111,112,verse004,train,20,3,38272,41320,53730,26.324893162176366,28.653097563788805,28.653097563788805,26.324893162176366,32.61901286060018
112,113,verse004,train,21,3,53730,38272,58012,28.653097563788805,32.61901286060018,32.61901286060018,28.653097563788805,30.033314835362415
113,114,verse004,train,22,3,58012,53730,59964,32.61901286060018,30.033314835362415,30.033314835362415,32.61901286060018,30.099833886584822
114,115,verse004,train,23,3,59964,58012,58234,30.033314835362415,30.099833886584822,30.099833886584822,30.033314835362415,
115,116,verse004,train,24,3,58234,59964,,30.099833886584822,,,30.099833886584822,
116,117,verse005,train,20,3,52223,,58288,,33.25657829663178,33.25657829663178,,34.583232931581165
117,118,verse005,train,21,3,58288,52223,64116,33.25657829663178,34.583232931581165,34.583232931581165,33.25657829663178,34.07345007480164
118,119,verse005,train,22,3,64116,58288,68394,34.583232931581165,34.07345007480164,34.07345007480164,34.583232931581165,32.817678162843876
119,120,verse005,train,23,3,68394,64116,68134,34.07345007480164,32.817678162843876,32.817678162843876,34.07345007480164,
120,121,verse005,train,24,3,68134,68394,,32.817678162843876,,,32.817678162843876,
121,122,verse008,train,19,2,48732,,54062,,33.19638534539566,33.19638534539566,,33.12099032335839
122,123,verse008,train,20,3,54062,48732,56986,33.19638534539566,33.12099032335839,33.12099032335839,33.19638534539566,35.185224171518364
123,124,verse008,train,21,3,56986,54062,65676,33.12099032335839,35.185224171518364,35.185224171518364,33.12099032335839,33.0
124,125,verse008,train,22,3,65676,56986,65134,35.185224171518364,33.0,33.0,35.185224171518364,31.11269837220809
125,126,verse008,train,23,3,65134,65676,73592,33.0,31.11269837220809,31.11269837220809,33.0,
126,127,verse008,train,24,3,73592,65134,,31.11269837220809,,,31.11269837220809,
127,128,verse015,train,19,2,41514,,43680,,33.15116890850155,33.15116890850155,,33.793490497431605
128,129,verse015,train,20,3,43680,41514,51576,33.15116890850155,33.793490497431605,33.793490497431605,33.15116890850155,33.63034344160047
129,130,verse015,train,21,3,51576,43680,49478,33.793490497431605,33.63034344160047,33.63034344160047,33.793490497431605,28.91366458960192
130,131,verse015,train,22,3,49478,51576,46630,33.63034344160047,28.91366458960192,28.91366458960192,33.63034344160047,27.09243436828813
131,132,verse015,train,23,3,46630,49478,44146,28.91366458960192,27.09243436828813,27.09243436828813,28.91366458960192,
132,133,verse015,train,24,3,44146,46630,,27.09243436828813,,,27.09243436828813,
133,134,verse031,train,20,3,40176,,48190,,32.03123475609393,32.03123475609393,,33.391615714128
134,135,verse031,train,21,3,48190,40176,53592,32.03123475609393,33.391615714128,33.391615714128,32.03123475609393,30.083217912982647
135,136,verse031,train,22,3,53592,48190,47482,33.391615714128,30.083217912982647,30.083217912982647,33.391615714128,27.073972741361768
136,137,verse031,train,23,3,47482,53592,55328,30.083217912982647,27.073972741361768,27.073972741361768,30.083217912982647,
137,138,verse031,train,24,3,55328,47482,,27.073972741361768,,,27.073972741361768,
138,139,verse033,train,7,1,14844,,19012,,18.894443627691185,18.894443627691185,,21.236760581595302
139,140,verse033,train,8,2,19012,14844,20122,18.894443627691185,21.236760581595302,21.236760581595302,18.894443627691185,22.045407685048602
140,141,verse033,train,9,2,20122,19012,19554,21.236760581595302,22.045407685048602,22.045407685048602,21.236760581595302,20.615528128088304
141,142,verse033,train,10,2,19554,20122,19090,22.045407685048602,20.615528128088304,20.615528128088304,22.045407685048602,22.135943621178654
142,143,verse033,train,11,2,19090,19554,20602,20.615528128088304,22.135943621178654,22.135943621178654,20.615528128088304,22.869193252058544
143,144,verse033,train,12,2,20602,19090,20992,22.135943621178654,22.869193252058544,22.869193252058544,22.135943621178654,22.0
144,145,verse033,train,13,2,20992,20602,24566,22.869193252058544,22.0,22.0,22.869193252058544,23.043437243605826
145,146,verse033,train,14,2,24566,20992,26618,22.0,23.043437243605826,23.043437243605826,22.0,23.108440016582687
146,147,verse033,train,15,2,26618,24566,26908,23.043437243605826,23.108440016582687,23.108440016582687,23.043437243605826,24.351591323771842
147,148,verse033,train,16,2,26908,26618,31236,23.108440016582687,24.351591323771842,24.351591323771842,23.108440016582687,26.70205984563738
148,149,verse033,train,17,2,31236,26908,32528,24.351591323771842,26.70205984563738,26.70205984563738,24.351591323771842,28.231188426986208
149,150,verse033,train,18,2,32528,31236,36134,26.70205984563738,28.231188426986208,28.231188426986208,26.70205984563738,29.427877939124322
150,151,verse033,train,19,2,36134,32528,43048,28.231188426986208,29.427877939124322,29.427877939124322,28.231188426986208,31.32091952673165
151,152,verse033,train,20,3,43048,36134,46596,29.427877939124322,31.32091952673165,31.32091952673165,29.427877939124322,33.58571124749333
152,153,verse033,train,21,3,46596,43048,53932,31.32091952673165,33.58571124749333,33.58571124749333,31.32091952673165,33.67491648096547
153,154,verse033,train,22,3,53932,46596,55332,33.58571124749333,33.67491648096547,33.67491648096547,33.58571124749333,31.016124838541646
154,155,verse033,train,23,3,55332,53932,53224,33.67491648096547,31.016124838541646,31.016124838541646,33.67491648096547,
155,156,verse033,train,24,3,53224,55332,,31.016124838541646,,,31.016124838541646,
156,157,verse034,train,17,2,43059,,47814,,30.430248109405877,30.430248109405877,,31.575306807693888
157,158,verse034,train,18,2,47814,43059,49935,30.430248109405877,31.575306807693888,31.575306807693888,30.430248109405877,34.249087579087416
158,159,verse034,train,19,2,49935,47814,56763,31.575306807693888,34.249087579087416,34.249087579087416,31.575306807693888,36.55133376499413
159,160,verse034,train,20,3,56763,49935,62157,34.249087579087416,36.55133376499413,36.55133376499413,34.249087579087416,36.40054944640259
160,161,verse034,train,21,3,62157,56763,67854,36.55133376499413,36.40054944640259,36.40054944640259,36.55133376499413,38.02630668366309
161,162,verse034,train,22,3,67854,62157,69459,36.40054944640259,38.02630668366309,38.02630668366309,36.40054944640259,34.52535300326414
162,163,verse034,train,23,3,69459,67854,67197,38.02630668366309,34.52535300326414,34.52535300326414,38.02630668366309,
163,164,verse034,train,24,3,67197,69459,,34.52535300326414,,,34.52535300326414,
164,165,verse056,train,18,2,49118,,51456,,29.427877939124322,29.427877939124322,,27.586228448267445
165,166,verse056,train,19,2,51456,49118,48340,29.427877939124322,27.586228448267445,27.586228448267445,29.427877939124322,31.160872901765767
166,167,verse056,train,20,3,48340,51456,57626,27.586228448267445,31.160872901765767,31.160872901765767,27.586228448267445,30.083217912982647
167,168,verse056,train,21,3,57626,48340,61830,31.160872901765767,30.083217912982647,30.083217912982647,31.160872901765767,29.427877939124322
168,169,verse056,train,22,3,61830,57626,72820,30.083217912982647,29.427877939124322,29.427877939124322,30.083217912982647,28.442925306655784
169,170,verse056,train,23,3,72820,61830,71784,29.427877939124322,28.442925306655784,28.442925306655784,29.427877939124322,
170,171,verse056,train,24,3,71784,72820,,28.442925306655784,,,28.442925306655784,
171,172,verse075,train,16,2,26558,,27931,,25.199206336708304,25.199206336708304,,26.153393661244042
172,173,verse075,train,17,2,27931,26558,28409,25.199206336708304,26.153393661244042,26.153393661244042,25.199206336708304,29.03446228191595
173,174,verse075,train,18,2,28409,27931,33406,26.153393661244042,29.03446228191595,29.03446228191595,26.153393661244042,31.32091952673165
174,175,verse075,train,19,2,33406,28409,38800,29.03446228191595,31.32091952673165,31.32091952673165,29.03446228191595,32.449961479175904
175,176,verse075,train,20,3,38800,33406,42051,31.32091952673165,32.449961479175904,32.449961479175904,31.32091952673165,33.37663853655727
176,177,verse075,train,21,3,42051,38800,45678,32.449961479175904,33.37663853655727,33.37663853655727,32.449961479175904,
177,178,verse075,train,22,3,45678,42051,,33.37663853655727,,,33.37663853655727,
178,179,verse082,train,8,2,33646,,36179,,23.853720883753127,23.853720883753127,,24.61706725018234
179,180,verse082,train,9,2,36179,33646,35572,23.853720883753127,24.61706725018234,24.61706725018234,23.853720883753127,25.80697580112788
180,181,verse082,train,10,2,35572,36179,39587,24.61706725018234,25.80697580112788,25.80697580112788,24.61706725018234,25.079872407968907
181,182,verse082,train,11,2,39587,35572,39860,25.80697580112788,25.079872407968907,25.079872407968907,25.80697580112788,26.248809496813376
182,183,verse082,train,12,2,39860,39587,43186,25.079872407968907,26.248809496813376,26.248809496813376,25.079872407968907,25.96150997149434
183,184,verse082,train,13,2,43186,39860,45620,26.248809496813376,25.96150997149434,25.96150997149434,26.248809496813376,27.313000567495326
184,185,verse082,train,14,2,45620,43186,47488,25.96150997149434,27.313000567495326,27.313000567495326,25.96150997149434,27.147743920996454
185,186,verse082,train,15,2,47488,45620,51065,27.313000567495326,27.147743920996454,27.147743920996454,27.313000567495326,28.089143810376278
186,187,verse082,train,16,2,51065,47488,56782,27.147743920996454,28.089143810376278,28.089143810376278,27.147743920996454,30.4138126514911
187,188,verse082,train,17,2,56782,51065,66970,28.089143810376278,30.4138126514911,30.4138126514911,28.089143810376278,32.202484376209235
188,189,verse082,train,18,2,66970,56782,63037,30.4138126514911,32.202484376209235,32.202484376209235,30.4138126514911,32.7566787083184
189,190,verse082,train,19,2,63037,66970,70866,32.202484376209235,32.7566787083184,32.7566787083184,32.202484376209235,33.85262175962151
190,191,verse082,train,20,3,70866,63037,76561,32.7566787083184,33.85262175962151,33.85262175962151,32.7566787083184,36.89173349139343
191,192,verse082,train,21,3,76561,70866,84191,33.85262175962151,36.89173349139343,36.89173349139343,33.85262175962151,35.35533905932738
192,193,verse082,train,22,3,84191,76561,77841,36.89173349139343,35.35533905932738,35.35533905932738,36.89173349139343,32.202484376209235
193,194,verse082,train,23,3,77841,84191,84465,35.35533905932738,32.202484376209235,32.202484376209235,35.35533905932738,
194,195,verse082,train,24,3,84465,77841,,32.202484376209235,,,32.202484376209235,
195,196,verse088,val,16,2,30449,,33187,,23.173260452512935,23.173260452512935,,25.67099530598687
196,197,verse088,val,17,2,33187,30449,35476,23.173260452512935,25.67099530598687,25.67099530598687,23.173260452512935,27.367864366808018
197,198,verse088,val,18,2,35476,33187,37111,25.67099530598687,27.367864366808018,27.367864366808018,25.67099530598687,29.631064780058107
198,199,verse088,val,19,2,37111,35476,43760,27.367864366808018,29.631064780058107,29.631064780058107,27.367864366808018,31.78049716414141
199,200,verse088,val,20,3,43760,37111,50250,29.631064780058107,31.78049716414141,31.78049716414141,29.631064780058107,33.54101966249684
200,201,verse088,val,21,3,50250,43760,55261,31.78049716414141,33.54101966249684,33.54101966249684,31.78049716414141,32.14031735997639
201,202,verse088,val,22,3,55261,50250,55700,33.54101966249684,32.14031735997639,32.14031735997639,33.54101966249684,29.34280150224242
202,203,verse088,val,23,3,55700,55261,51780,32.14031735997639,29.34280150224242,29.34280150224242,32.14031735997639,
203,204,verse088,val,24,3,51780,55700,,29.34280150224242,,,29.34280150224242,
204,205,verse091,train,8,2,21027,,19688,,19.28730152198591,19.28730152198591,,20.808652046684813
205,206,verse091,train,9,2,19688,21027,20145,19.28730152198591,20.808652046684813,20.808652046684813,19.28730152198591,22.44994432064365
206,207,verse091,train,10,2,20145,19688,21769,20.808652046684813,22.44994432064365,22.44994432064365,20.808652046684813,20.904544960366874
207,208,verse091,train,11,2,21769,20145,23906,22.44994432064365,20.904544960366874,20.904544960366874,22.44994432064365,21.863211109075447
208,209,verse091,train,12,2,23906,21769,24766,20.904544960366874,21.863211109075447,21.863211109075447,20.904544960366874,23.280893453645632
209,210,verse091,train,13,2,24766,23906,27639,21.863211109075447,23.280893453645632,23.280893453645632,21.863211109075447,23.108440016582687
210,211,verse091,train,14,2,27639,24766,29988,23.280893453645632,23.108440016582687,23.108440016582687,23.280893453645632,23.08679276123039
211,212,verse091,train,15,2,29988,27639,32953,23.108440016582687,23.08679276123039,23.08679276123039,23.108440016582687,25.15949125081825
212,213,verse091,train,16,2,32953,29988,38035,23.08679276123039,25.15949125081825,25.15949125081825,23.08679276123039,26.851443164195103
213,214,verse091,train,17,2,38035,32953,41442,25.15949125081825,26.851443164195103,26.851443164195103,25.15949125081825,29.88310559496787
214,215,verse091,train,18,2,41442,38035,47348,26.851443164195103,29.88310559496787,29.88310559496787,26.851443164195103,32.155870381627054
215,216,verse091,train,19,2,47348,41442,55557,29.88310559496787,32.155870381627054,32.155870381627054,29.88310559496787,28.231188426986208
216,217,verse091,train,20,3,55557,47348,56871,32.155870381627054,28.231188426986208,28.231188426986208,32.155870381627054,29.30870177950569
217,218,verse091,train,21,3,56871,55557,61619,28.231188426986208,29.30870177950569,29.30870177950569,28.231188426986208,28.635642126552707
218,219,verse091,train,22,3,61619,56871,63325,29.30870177950569,28.635642126552707,28.635642126552707,29.30870177950569,28.231188426986208
219,220,verse091,train,23,3,63325,61619,64155,28.635642126552707,28.231188426986208,28.231188426986208,28.635642126552707,
220,221,verse091,train,24,3,64155,63325,,28.231188426986208,,,28.231188426986208,
221,222,verse096,train,7,1,13491,,18477,,17.233687939614086,17.233687939614086,,20.615528128088304
222,223,verse096,train,8,2,18477,13491,17722,17.233687939614086,20.615528128088304,20.615528128088304,17.233687939614086,21.118712081942874
223,224,verse096,train,9,2,17722,18477,18348,20.615528128088304,21.118712081942874,21.118712081942874,20.615528128088304,21.633307652783937
224,225,verse096,train,10,2,18348,17722,18870,21.118712081942874,21.633307652783937,21.633307652783937,21.118712081942874,23.0
225,226,verse096,train,11,2,18870,18348,19732,21.633307652783937,23.0,23.0,21.633307652783937,22.40535650240808
226,227,verse096,train,12,2,19732,18870,21517,23.0,22.40535650240808,22.40535650240808,23.0,23.021728866442675
227,228,verse096,train,13,2,21517,19732,23836,22.40535650240808,23.021728866442675,23.021728866442675,22.40535650240808,24.1039415863879
228,229,verse096,train,14,2,23836,21517,26698,23.021728866442675,24.1039415863879,24.1039415863879,23.021728866442675,24.1039415863879
229,230,verse096,train,15,2,26698,23836,29094,24.1039415863879,24.1039415863879,24.1039415863879,24.1039415863879,24.351591323771842
230,231,verse096,train,16,2,29094,26698,31466,24.1039415863879,24.351591323771842,24.351591323771842,24.1039415863879,25.729360660537214
231,232,verse096,train,17,2,31466,29094,31715,24.351591323771842,25.729360660537214,25.729360660537214,24.351591323771842,29.189039038652847
232,233,verse096,train,18,2,31715,31466,36665,25.729360660537214,29.189039038652847,29.189039038652847,25.729360660537214,31.064449134018133
233,234,verse096,train,19,2,36665,31715,41868,29.189039038652847,31.064449134018133,31.064449134018133,29.189039038652847,32.57299494980466
234,235,verse096,train,20,3,41868,36665,47577,31.064449134018133,32.57299494980466,32.57299494980466,31.064449134018133,29.8496231131986
235,236,verse096,train,21,3,47577,41868,53672,32.57299494980466,29.8496231131986,29.8496231131986,32.57299494980466,32.12475680841802
236,237,verse096,train,22,3,53672,47577,55452,29.8496231131986,32.12475680841802,32.12475680841802,29.8496231131986,26.476404589747453
237,238,verse096,train,23,3,55452,53672,61801,32.12475680841802,26.476404589747453,26.476404589747453,32.12475680841802,
